day_of_week, month, breakfast_booked, lunch_booked, dinner_booked, menu_type, total_booked, waste_pct, waste_kg, money_wasted_inr, actual_attendance
          3,    10,              173,          329,           316,         0,          818,      3.55,    15.63,          1250.37,               774
          4,    10,              171,          328,           282,         0,          781,      3.3 ,    13.89,          1110.98,               700
          5,    10,              108,          240,           175,         0,          523,     12.38,    35.09,          2807.49,               485
          6,    10,              121,          181,           196,         1,          498,      4.85,    12.84,          1027.42,               444
          0,    10,              177,          325,           269,         0,          771,      3.53,    14.62,          1169.7 ,               708
          1,    10,              197,          297,           260,         0,          754,      4.88,    19.5 ,          1560.11,               702
          2,    10,              197,          308,           298,         1,          803,      3.0 ,    12.82,          1026.0 ,               744
          3,    10,              156,          298,           302,         0,          756,      5.01,    20.4 ,          1631.81,               675
          4,    10,              176,          290,           315,         0,          781,      3.0 ,    12.53,          1002.36,               747
          5,    10,              108,          215,           217,         1,          540,      3.58,    10.45,           835.74,               507
          6,    10,              120,          218,           190,         0,          528,     14.53,    41.15,          3292.29,               493
          0,    10,              130,          302,           284,         0,          716,      3.34,    13.0 ,          1040.22,               648
          1,    10,              173,          303,           311,         0,          787,      4.45,    18.8 ,          1503.65,               740
          2,    10,              161,          304,           278,         1,          743,      3.0 ,    11.99,           959.28,               698
          3,    10,              170,          292,           259,         0,          721,      4.68,    18.06,          1444.85,               638
          4,    11,              177,          291,           296,         1,          764,      3.0 ,    12.25,           979.68,               716
          5,    11,              117,          225,           189,         1,          531,      5.4 ,    15.43,          1234.16,               489
          6,    11,              106,          205,           186,         1,          497,      7.95,    21.28,          1702.09,               480
          0,    11,              165,          277,           271,         0,          713,      6.08,    23.17,          1853.52,               643
          1,    11,              164,          303,           278,         1,          745,      3.0 ,    12.01,           960.72,               680
          2,    11,              181,          295,           258,         1,          734,      3.0 ,    11.74,           939.12,               667
          3,    11,              160,          300,           266,         1,          726,      3.0 ,    11.71,           936.72,               662
          4,    11,              161,          311,           290,         1,          762,      3.0 ,    12.31,           985.2 ,               677
          5,    11,              107,          190,           189,         0,          486,     13.03,    33.98,          2718.32,               472
          6,    11,              122,          173,           183,         1,          478,      9.07,    22.97,          1837.76,               467
          0,    11,              170,          361,           286,         1,          817,      3.0 ,    13.26,          1060.56,               762
          1,    11,              166,          272,           278,         1,          716,      3.0 ,    11.47,           918.0 ,               657
          2,    11,              181,          297,           277,         0,          755,      5.17,    20.82,          1665.49,               727
          3,    11,              194,          301,           312,         1,          807,      3.0 ,    12.89,          1031.52,               739
          4,    11,              175,          315,           287,         0,          777,      3.8 ,    15.85,          1268.18,               746
          5,    11,              109,          225,           189,         1,          523,      4.03,    11.39,           911.13,               470
          6,    11,              113,          243,           212,         1,          568,      7.43,    22.86,          1828.47,               532
          0,    11,              182,          300,           249,         0,          731,      5.3 ,    20.64,          1651.11,               678
          1,    11,              191,          302,           275,         0,          768,      5.24,    21.42,          1713.94,               728
          2,    11,              196,          340,           319,         0,          855,      4.05,    18.53,          1482.61,               754
          3,    11,              172,          277,           306,         1,          755,      3.0 ,    12.1 ,           967.92,               697
          4,    11,              171,          286,           269,         1,          726,      3.0 ,    11.64,           931.08,               672
          5,    11,              104,          198,           180,         0,          482,     14.44,    37.45,          2995.9 ,               447
          6,    11,               97,          213,           211,         0,          521,     15.77,    44.59,          3566.92,               483
          0,    11,              157,          303,           301,         1,          761,      3.0 ,    12.3 ,           984.36,               700
          1,    11,              160,          317,           260,         1,          737,      3.0 ,    11.92,           953.28,               682
          2,    11,              174,          301,           264,         0,          739,      5.21,    20.58,          1646.65,               707
          3,    11,              176,          332,           268,         0,          776,      5.73,    23.88,          1910.43,               691
          4,    11,              136,          296,           279,         1,          711,      3.0 ,    11.56,           925.08,               666
          5,    11,               99,          195,           195,         0,          489,     13.52,    35.66,          2852.78,               459
          6,     0,               80,          166,           179,         1,          425,      9.99,    22.98,          1838.77,               402
          0,     0,              126,          298,           270,         0,          694,      7.7 ,    29.09,          2326.83,               677
          1,     0,              162,          315,           282,         1,          759,      3.0 ,    12.27,           981.36,               727
          2,     0,              179,          312,           289,         0,          780,      8.44,    35.26,          2820.98,               705
          3,     0,              136,          342,           274,         1,          752,      3.0 ,    12.31,           984.72,               692
          4,     0,              167,          299,           269,         0,          735,      6.24,    24.59,          1967.16,               664
          5,     0,               91,          224,           182,         1,          497,      4.64,    12.57,          1005.79,               464
          6,     0,              107,          234,           180,         1,          521,      8.47,    23.91,          1912.59,               491
          0,     0,              157,          323,           292,         0,          772,      6.9 ,    28.78,          2302.57,               735
          1,     0,              165,          321,           281,         0,          767,      6.53,    26.99,          2158.86,               679
